language,algo,distribution,n,runs,median_ms,iqr_ms,mean_ms,std_ms
js,builtin,nearly_sorted,10000,30,0.660,0.079,0.628,0.128
js,builtin,nearly_sorted,100000,30,5.277,0.674,5.542,0.643
js,builtin,nearly_sorted,1000000,30,63.948,8.006,67.698,6.847
js,builtin,random,1000,30,0.164,0.022,0.171,0.018
js,builtin,random,10000,30,2.020,0.105,2.066,0.113
js,builtin,random,100000,30,25.922,0.348,25.909,0.368
js,builtin,random,1000000,30,297.278,10.556,300.277,8.601
js,builtin,reversed,1000,30,0.017,0.010,0.019,0.007
js,builtin,reversed,10000,30,0.128,0.074,0.167,0.059
js,builtin,reversed,100000,30,1.566,0.254,1.630,0.157
js,builtin,reversed,1000000,30,28.128,3.602,29.982,4.816
js,builtin,sorted,1000,30,0.021,0.002,0.022,0.006
js,builtin,sorted,10000,30,0.118,0.074,0.159,0.065
js,builtin,sorted,100000,30,1.474,0.980,1.782,0.485
js,builtin,sorted,1000000,30,14.465,0.903,14.984,1.341
python,builtin,dups,1000,30,0.056,0.000,0.056,0.002
python,builtin,dups,10000,30,0.696,0.022,0.714,0.053
python,builtin,dups,100000,30,7.239,0.113,7.278,0.147
python,builtin,dups,1000000,30,71.811,2.647,72.290,2.607
python,builtin,nearly_sorted,1000,30,0.021,0.003,0.022,0.004
python,builtin,nearly_sorted,10000,30,0.185,0.009,0.195,0.027
python,builtin,nearly_sorted,100000,30,2.678,0.362,2.698,0.353
python,builtin,nearly_sorted,1000000,30,40.513,3.522,41.551,4.320
python,builtin,random,1000,30,0.119,0.001,0.122,0.019
python,builtin,random,10000,30,1.486,0.275,1.536,0.181
python,builtin,random,100000,30,20.769,0.967,20.841,0.987
python,builtin,random,1000000,30,298.824,25.787,306.954,17.420
python,builtin,reversed,1000,30,0.007,0.002,0.009,0.008
python,builtin,reversed,10000,30,0.067,0.005,0.071,0.013
python,builtin,reversed,100000,30,0.716,0.119,0.784,0.148
python,builtin,reversed,1000000,30,9.748,0.501,9.835,0.573
python,builtin,sorted,1000,30,0.006,0.000,0.006,0.001
python,builtin,sorted,10000,30,0.060,0.006,0.061,0.015
python,builtin,sorted,100000,30,0.651,0.178,0.716,0.200
python,builtin,sorted,1000000,30,7.638,0.265,7.889,0.818
rust,builtin,dups,1000,30,0.006,0.000,0.006,0.001
rust,builtin,dups,10000,30,0.049,0.001,0.051,0.004
rust,builtin,dups,100000,30,0.456,0.055,0.494,0.108
rust,builtin,dups,1000000,30,4.629,0.242,4.643,0.172
rust,builtin,nearly_sorted,1000,30,0.011,0.001,0.011,0.002
rust,builtin,nearly_sorted,10000,30,0.102,0.029,0.111,0.025
rust,builtin,nearly_sorted,100000,30,1.159,0.067,1.175,0.084
rust,builtin,nearly_sorted,1000000,30,14.012,0.447,14.084,0.295
rust,builtin,random,1000,30,0.006,0.001,0.007,0.001
rust,builtin,random,10000,30,0.094,0.003,0.099,0.012
rust,builtin,random,100000,30,1.227,0.115,1.268,0.145
rust,builtin,random,1000000,30,13.614,0.418,13.698,0.252
rust,builtin,reversed,1000,30,0.001,0.000,0.001,0.000
rust,builtin,reversed,10000,30,0.006,0.000,0.006,0.001
rust,builtin,reversed,100000,30,0.048,0.023,0.047,0.011
rust,builtin,reversed,1000000,30,14.592,1.284,15.305,2.090
rust,builtin,sorted,1000,30,0.001,0.000,0.001,0.000
rust,builtin,sorted,10000,30,0.003,0.000,0.003,0.001
rust,builtin,sorted,100000,30,0.029,0.022,0.037,0.010
rust,builtin,sorted,1000000,30,0.306,0.044,0.328,0.064
ts,builtin,dups,1000,30,0.161,0.038,0.168,0.046
ts,builtin,dups,10000,30,1.616,0.082,1.635,0.098
ts,builtin,dups,100000,30,17.084,0.167,17.129,0.279
ts,builtin,dups,1000000,30,177.378,6.627,178.830,5.529
ts,builtin,nearly_sorted,1000,30,0.039,0.007,0.044,0.014
ts,builtin,nearly_sorted,10000,30,0.405,0.050,0.423,0.061
ts,builtin,nearly_sorted,100000,30,6.588,2.172,6.995,1.356
ts,builtin,nearly_sorted,1000000,30,63.725,5.703,66.482,5.906
ts,builtin,random,1000,30,0.155,0.011,0.161,0.015
ts,builtin,random,10000,30,2.056,0.116,2.084,0.108
ts,builtin,random,100000,30,25.625,0.392,25.727,0.441
ts,builtin,random,1000000,30,306.846,12.662,312.054,13.242
ts,builtin,reversed,1000,30,0.014,0.003,0.026,0.061
ts,builtin,reversed,10000,30,0.179,0.100,0.187,0.064
ts,builtin,reversed,100000,30,1.542,0.319,1.749,0.437
ts,builtin,reversed,1000000,30,28.998,2.996,30.380,4.573
ts,builtin,sorted,1000,30,0.020,0.014,0.038,0.095
ts,builtin,sorted,10000,30,0.124,0.066,0.156,0.053
ts,builtin,sorted,100000,30,1.449,0.109,1.563,0.284
ts,builtin,sorted,1000000,30,14.316,0.402,14.454,0.800
