timestamp_iso,task,language,language_version,algo,dataset_file,distribution,n,warmup_runs,rep_idx,time_ms,ok
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,17,0.059,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,18,0.058,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,19,0.058,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,20,0.055,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,21,0.057,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,22,0.058,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,23,0.056,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,24,0.056,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,25,0.078,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,26,0.078,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,27,0.082,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,28,0.076,true
2026-01-04T14:09:29,sort,go,go1.25.5 X:nodwarf5,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,29,0.076,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,0,0.006,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,1,0.006,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,2,0.008,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,3,0.008,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,4,0.007,true
2026-01-04T14:09:30,sort,rust,rust/0.1.0,builtin,../datasets/ints/random_n1000_seed1.bin,random,1000,5,5,0.007,true
